# sheet: MM_PSF
MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi
67,0.0,0.0,4.937675991168373,1.1321546329433645,pseudo-voigt,0.7146280342392142,0.21810876766985582
68,0.0,0.0,3.759381645831363,1.2938007904869693,pseudo-voigt,0.8589344115008739,0.2793983305620302
69,0.0,0.0,4.250845514024331,1.4074984730762916,pseudo-voigt,0.8153115506661729,0.3138516556515427
70,0.0,0.0,3.690741147899984,1.1199838550349044,pseudo-voigt,0.6372718411623598,0.22529517435303384
71,0.0,0.0,4.043823349757009,1.353521409549329,pseudo-voigt,0.722547077937477,0.30403375290636103
72,0.0,0.0,3.4388940432100625,1.3441419595826178,pseudo-voigt,0.6509684496064365,0.28795491260915207
73,0.0,0.0,4.110120712376612,1.1367928459408927,pseudo-voigt,0.8052807169040356,0.2881925981440851
74,0.0,0.0,5.003684440783306,1.0129914930088388,pseudo-voigt,0.7934405071835964,0.32801674560932664
75,0.0,0.0,3.9037112098902886,1.1915113959255117,pseudo-voigt,0.780861524402749,0.2750858339808763
76,0.0,0.0,3.492725976146645,1.1413649562014077,pseudo-voigt,0.7941106777180273,0.3118862747658035
77,0.0,0.0,4.150540430561706,1.0884795884469713,pseudo-voigt,0.8019930593554097,0.37064820764981365
78,0.0,0.0,4.975423358553788,1.328675789982414,pseudo-voigt,0.790214759408371,0.3131091899332079
79,0.0,0.0,3.246531049464029,1.18150320693894,pseudo-voigt,0.7060950781669728,0.2574623611211106
80,0.0,0.0,3.3865069801753482,0.9382338928867365,pseudo-voigt,0.7615703133700715,0.3007133461964174
81,0.0,0.0,4.185911658062369,1.2973980584904417,pseudo-voigt,0.812687780860653,0.30976097557752114
82,0.0,0.0,3.919415091580327,1.3572146497802815,pseudo-voigt,0.6714134732602567,0.3293652595690564
83,0.0,0.0,4.91958366351067,1.2775722576581785,pseudo-voigt,0.7683988458010915,0.29823472376098625
84,0.0,0.0,3.599452693447279,1.1823974288528214,pseudo-voigt,0.710571302367867,0.30196455942898864
85,0.0,0.0,3.988239361940416,1.245127055114773,pseudo-voigt,0.7931711337608159,0.31599333022189624
86,0.0,0.0,3.7505542811053107,1.345407968053406,pseudo-voigt,0.7315378307550833,0.2608854766526604
87,0.0,0.0,4.388147422355352,1.283506086611872,pseudo-voigt,0.7191188835736793,0.30409802679502096
88,0.0,0.0,3.995774765321069,1.3485137264969154,pseudo-voigt,0.8499842729213172,0.25764920734438934
89,0.0,0.0,4.465199192630308,1.3039333742696826,pseudo-voigt,0.7079690164765655,0.32529530357125636
90,0.0,0.0,3.6114193275824698,1.1084317409747677,pseudo-voigt,0.7970709903296476,0.2608715424429452
91,0.0,0.0,4.186199435125299,1.4221445922677938,pseudo-voigt,0.7491568107655819,0.3211618302562944
92,0.0,0.0,4.407335245488473,1.2877899605095082,pseudo-voigt,0.7586020131156677,0.30023204765814787
93,0.0,0.0,4.766769456045056,1.135158043866027,pseudo-voigt,0.7153743994630083,0.32088776363395494
94,0.0,0.0,4.491185254209913,1.2478269843557845,pseudo-voigt,0.7395353939440569,0.30545888096947565
95,0.0,0.0,4.9092018967926006,1.4423149608021013,pseudo-voigt,0.7178814470171202,0.30192624507541177
96,0.0,0.0,4.765113783310209,1.1067998996107533,pseudo-voigt,0.7577135814693855,0.27876502513766493
97,0.0,0.0,3.9135584062759214,1.1235816322175927,pseudo-voigt,0.7380443118795318,0.2349407907293468
98,0.0,0.0,3.40802714195271,1.282837509077066,pseudo-voigt,0.714354229270288,0.2586883954949194
99,0.0,0.0,4.4822297665203905,1.391671807003236,pseudo-voigt,0.7793761656250521,0.2933144250389702
100,0.0,0.0,3.8699105360051407,1.1875503617263945,pseudo-voigt,0.7256611402071405,0.2732733566730644
101,0.0,0.0,3.8964927283026705,1.1816523437013189,pseudo-voigt,0.9255928731023068,0.26801426126781003
102,0.0,0.0,3.8792583038392947,1.5439007648662597,pseudo-voigt,0.7442393453252507,0.3257514877817212
103,0.0,0.0,3.7305051850401125,1.2058637767230138,pseudo-voigt,0.8448337613747872,0.3092315751826641
104,0.0,0.0,3.8608447123927827,1.2984709505624437,pseudo-voigt,0.7511596541424544,0.3691315316401306
105,0.0,0.0,4.099737886873715,1.368329240950525,pseudo-voigt,0.6852943687263339,0.2999723626228392
106,0.0,0.0,4.278196954298787,1.5222395551400054,pseudo-voigt,0.7047368626277718,0.2904342121254341
107,0.0,0.0,3.6168246590975426,1.195306686839649,pseudo-voigt,0.8695993405166843,0.29772327107682234
108,0.0,0.0,3.919803695445283,1.2208941839103253,pseudo-voigt,0.8999661825343352,0.2643667356084138
109,0.0,0.0,4.266112154728714,1.287203487892923,pseudo-voigt,0.8143511784937081,0.30799293519830334
110,0.0,0.0,4.104665517415139,1.5072935400702512,pseudo-voigt,0.7210530292170507,0.26857909074837816
111,0.0,0.0,4.2000193104538734,1.3562678572455091,pseudo-voigt,0.6813192245182049,0.3274473444462802
112,0.0,0.0,4.595588307263388,1.2919639496653914,pseudo-voigt,0.8007608243566318,0.28128699348419584
113,0.0,0.0,4.038563593528933,1.3420270959064597,pseudo-voigt,0.6484022753224755,0.3080687121302534
114,0.0,0.0,3.401505433212048,1.2002634836706412,pseudo-voigt,0.697936259785871,0.2970707253279942
115,0.0,0.0,3.6355866462395694,1.2089098085996244,pseudo-voigt,0.8383804308607902,0.2668848310604757
116,0.0,0.0,3.978961410846906,1.0482724522357842,pseudo-voigt,0.7420541519290537,0.33565682244219264
117,0.0,0.0,4.823327985111836,1.2046484481550899,pseudo-voigt,0.755030617296911,0.30184125864893374
118,0.0,0.0,4.829110127919123,1.5563867914164335,pseudo-voigt,0.8931274702245879,0.28629757795633987
119,0.0,0.0,4.006924289762894,1.3801959040728076,pseudo-voigt,0.9233306615651352,0.33226574303798995
120,0.0,0.0,3.9506468044581347,1.1752396360244153,pseudo-voigt,0.7898655074668334,0.242864966069879
121,0.0,0.0,3.648930549989297,1.2466098058921542,pseudo-voigt,0.8925547520439622,0.3326507544612144
122,0.0,0.0,4.033221339226475,1.5156465412542222,pseudo-voigt,0.683609665604411,0.3070777923587948
123,0.0,0.0,4.1818885723535955,1.359083751301895,pseudo-voigt,0.7255128386220563,0.3040765820639227
124,0.0,0.0,3.301872127565649,1.2729000906808545,pseudo-voigt,0.8783732884843728,0.28013095932603055
125,0.0,0.0,4.301931604769841,1.1653922998824462,pseudo-voigt,0.7431773616170043,0.276608934725825
126,0.0,0.0,3.355750112330255,1.229690466493183,pseudo-voigt,0.7241250511178003,0.2745100748503699
127,0.0,0.0,4.3995250261650165,1.18803668553361,pseudo-voigt,0.7732300080041806,0.2943652172393811
128,0.0,0.0,3.4680942304610776,1.3683116426023687,pseudo-voigt,0.7985143193840777,0.31602384446888154
129,0.0,0.0,3.541277514608168,1.139250690056417,pseudo-voigt,0.7928424208368505,0.26079096246931005
130,0.0,0.0,4.083527915143425,1.3799717199591388,pseudo-voigt,0.6921571487686422,0.2875971641494889
131,0.0,0.0,4.188632869041965,1.2180295077685002,pseudo-voigt,0.7810367934865858,0.3150229260519126
132,0.0,0.0,4.104397526569789,1.065962530075683,pseudo-voigt,0.8701220363136629,0.2818011290288626
133,0.0,0.0,4.510515913533713,1.2856323121260207,pseudo-voigt,0.7891318487572729,0.29417979023233276
134,0.0,0.0,3.8615737974189863,1.5716043038066763,pseudo-voigt,0.9096714341836566,0.29933713518187177
135,0.0,0.0,3.9661359850815123,1.3768914794042295,pseudo-voigt,0.7498196893649485,0.293155216616417
136,0.0,0.0,4.1997598381112935,1.2882431844637545,pseudo-voigt,0.7416788382989608,0.31423234819240464
137,0.0,0.0,3.6453475202468413,1.453881331638051,pseudo-voigt,0.8717953228174753,0.31630691617180673
138,0.0,0.0,3.695672509701187,1.1719923047782144,pseudo-voigt,0.8823747961034556,0.3106193023201966
139,0.0,0.0,3.5602762753915345,1.2500217349058007,pseudo-voigt,0.7630289992513026,0.28835164773653266
140,0.0,0.0,3.733247764284923,1.1777506632231645,pseudo-voigt,0.7220018345836495,0.3145406955786416
141,0.0,0.0,3.977880430517529,1.172832951580383,pseudo-voigt,0.8626526756920393,0.25368813576263827
142,0.0,0.0,4.274415706602775,1.3170110249458258,pseudo-voigt,0.7722004862117847,0.28130043792123305
143,0.0,0.0,4.0048763519920545,1.2493891760674884,pseudo-voigt,0.7242743508989791,0.2679753250712381
144,0.0,0.0,4.835800877049839,1.1169867602735428,pseudo-voigt,0.8833301457601086,0.2482506372781348
145,0.0,0.0,3.8066416820720996,1.310401182836182,pseudo-voigt,0.9375003464001392,0.2555043918888623
146,0.0,0.0,4.255106457582966,1.2500805163544193,pseudo-voigt,0.8849483589297475,0.25752901710296344
147,0.0,0.0,3.705111675552276,1.3356817634803864,pseudo-voigt,0.6994146335865088,0.3109330166961171
148,0.0,0.0,3.9396697310965805,1.0927180922423254,pseudo-voigt,0.7501911827955844,0.29145944122290157
149,0.0,0.0,5.086670367232539,1.1392040967589472,pseudo-voigt,0.7314261165284337,0.30450737016684515
150,0.0,0.0,4.170085381779225,1.3997534043845805,pseudo-voigt,0.6840163632067,0.2275313393704548
151,0.0,0.0,3.699299091364179,1.2943546858768944,pseudo-voigt,0.7368373933493909,0.2721740421177418
152,0.0,0.0,4.113216125005295,1.2001915872050795,pseudo-voigt,0.8346534550689267,0.26666248428558803
153,0.0,0.0,3.9114350405185645,1.3973577646607696,pseudo-voigt,0.6222818505004349,0.27273689443213806
154,0.0,0.0,3.880093045673228,0.9811353541654733,pseudo-voigt,0.6662875377883173,0.3527902788491459
155,0.0,0.0,4.505116407012688,1.2134158632099838,pseudo-voigt,0.7366074221998405,0.2881283554587363
156,0.0,0.0,4.630250981080407,1.2069378422028245,pseudo-voigt,0.6060666394070763,0.29979253209215245
157,0.0,0.0,3.4690092376749138,1.2674573835986644,pseudo-voigt,0.8080127894618316,0.2595393237965025
158,0.0,0.0,3.9769573634761914,0.8993381340551931,pseudo-voigt,0.7517685055714884,0.3102803500713134
159,0.0,0.0,3.8563708001621584,1.2746288305822655,pseudo-voigt,0.8540578237033882,0.26108518281908893
160,0.0,0.0,3.244523724516606,1.2425178778847497,pseudo-voigt,0.6745570125219758,0.22967297101717468
161,0.0,0.0,4.663913801531345,1.3565851519842047,pseudo-voigt,0.743711030530707,0.27538335629185606
162,0.0,0.0,4.387420702289694,1.1925824203948407,pseudo-voigt,0.8579904873965767,0.25286693334442006
163,0.0,0.0,3.1502237739671752,1.2504793742558322,pseudo-voigt,0.7102540075410623,0.29703924044089935
164,0.0,0.0,3.947824501468194,1.2387456141600903,pseudo-voigt,0.6635834744309159,0.2596184488458227
165,0.0,0.0,4.057495842863711,1.2945406029710564,pseudo-voigt,0.7641237783747223,0.29481825312761173
166,0.0,0.0,3.890632903243549,1.1926442987759065,pseudo-voigt,0.8415087809014725,0.2948306177377038
167,0.0,0.0,4.432890967293907,1.2792707726608017,pseudo-voigt,0.6634736754389486,0.328426621883563
168,0.0,0.0,4.377232796759098,1.1668670744222178,pseudo-voigt,0.9608027494494297,0.2852841372555017
169,0.0,0.0,4.31298061812476,1.241159319848267,pseudo-voigt,0.699548320439482,0.3289994672954231
170,0.0,0.0,3.6791888201094753,1.3669017044736347,pseudo-voigt,0.7484687884710898,0.27930424427385553
171,0.0,0.0,4.487294247755496,1.1400475971839055,pseudo-voigt,0.6867265008155876,0.2516680859742754
172,0.0,0.0,4.323753042473115,1.0891159424128516,pseudo-voigt,0.8173536064380582,0.27171494096556154
173,0.0,0.0,4.048297893981413,1.2144068453946961,pseudo-voigt,0.6771008295207621,0.3011588009313366
174,0.0,0.0,4.585318503587035,1.255716995631205,pseudo-voigt,0.9485447429135846,0.30129087241265606
175,0.0,0.0,3.4551704681046056,1.2699348763487213,pseudo-voigt,0.8969193850336726,0.3229512277807837
176,0.0,0.0,2.8550972329233977,1.1913314511439625,pseudo-voigt,0.6463767332958017,0.3348321644634606
177,0.0,0.0,4.428821295403721,1.4295279156060918,pseudo-voigt,0.8747705125456321,0.26943584423526634
178,0.0,0.0,4.6282780693631835,1.2863518568363719,pseudo-voigt,0.6950894198393993,0.2998174283136154
179,0.0,0.0,3.715820886121927,1.3618778447704345,pseudo-voigt,0.6115736251043582,0.23784533145639816
180,0.0,0.0,4.643008176820186,1.2823609447783073,pseudo-voigt,0.6902734966063825,0.3757304394912403
181,0.0,0.0,4.463143685439109,1.4421436769305926,pseudo-voigt,0.7931099024444653,0.2678232528672332
182,0.0,0.0,4.358851469877505,1.4120373888130031,pseudo-voigt,0.8473107657257094,0.28914426692632333
183,0.0,0.0,4.540977816702304,1.3163479494129318,pseudo-voigt,0.7477715146441488,0.26906880776834907
184,0.0,0.0,4.449115305549558,1.3982692075930825,pseudo-voigt,0.7239636408818916,0.27289130096892017
185,0.0,0.0,3.4766442202011074,1.2455943787329613,pseudo-voigt,0.7139466447842452,0.3175880657327786
186,0.0,0.0,4.352511983215534,1.0973294182302447,pseudo-voigt,0.7948195552673969,0.3163568313188425
187,0.0,0.0,3.6393145763079398,1.2603602871706567,pseudo-voigt,0.775054180801623,0.3153047948421993
188,0.0,0.0,4.380882638172996,1.3185572760186424,pseudo-voigt,0.685862721776826,0.3153126125713278
189,0.0,0.0,3.977184793251389,1.2578494710514196,pseudo-voigt,0.9008058140544161,0.28382558602825647
190,0.0,0.0,3.985207846994226,1.151354474134759,pseudo-voigt,0.808905136083742,0.282162226106333
191,0.0,0.0,4.156388388146418,1.250784141840519,pseudo-voigt,0.7889382556380446,0.3031060752089404
192,0.0,0.0,4.268579272787472,1.245263807138976,pseudo-voigt,0.8148393056096807,0.31159384005178287
193,0.0,0.0,4.364830931136565,1.1552096979442072,pseudo-voigt,0.8061438387891755,0.28579911983389994
194,0.0,0.0,3.9998058841035067,1.0013217023817462,pseudo-voigt,0.7676833813480816,0.2822305327257396
195,0.0,0.0,4.176866054135896,1.283641933980216,pseudo-voigt,0.7177362546244587,0.2436295061483439
196,0.0,0.0,3.8429961585737193,1.3765764629588781,pseudo-voigt,0.7772809049181304,0.2788791475502465
197,0.0,0.0,4.470547192292962,1.3947959530839815,pseudo-voigt,0.7177838038891294,0.2822140669224378
198,0.0,0.0,3.9876382863383064,1.0506456136396636,pseudo-voigt,0.7466924317625465,0.23321636824854433
199,0.0,0.0,4.148702607183012,1.2322210539191545,pseudo-voigt,0.7512950827181343,0.2888840262234417
200,0.0,0.0,4.334656472650881,1.3551138144980739,pseudo-voigt,0.7022480300723088,0.26492206898051474
201,0.0,0.0,3.9205848821545897,1.2999104369181893,pseudo-voigt,0.8386187650002246,0.2541670549426344
202,0.0,0.0,3.989867953541853,0.9553383530504262,pseudo-voigt,0.9802280644497132,0.3534984008842788
203,0.0,0.0,4.3998021140960955,1.5382724913453818,pseudo-voigt,0.769984172637495,0.29257280057835194
204,0.0,0.0,4.3112907269302285,1.3445496626421136,pseudo-voigt,0.7456716292225676,0.3058595647552651
205,0.0,0.0,4.201729770454732,1.163706238170091,pseudo-voigt,0.6261517069405279,0.2668659203846992
206,0.0,0.0,3.570333412413651,1.3852344028411623,pseudo-voigt,0.9104187934005151,0.29474288447739994
207,0.0,0.0,3.712613004985999,1.3655758112147744,pseudo-voigt,0.7573675956537648,0.26407935247404096
208,0.0,0.0,3.759755949224724,1.1331265801280048,pseudo-voigt,0.7349654681598918,0.28484217156823166
209,0.0,0.0,4.99776188548382,1.1721055455782745,pseudo-voigt,0.6732163012442671,0.36568657045964664
210,0.0,0.0,4.654753847538701,1.384844402119318,pseudo-voigt,0.8190380032205744,0.26007842398679487
211,0.0,0.0,4.494697762436178,1.2178173291812289,pseudo-voigt,0.722031104463802,0.3006037678811705
212,0.0,0.0,3.4882109278245945,1.1536171141635316,pseudo-voigt,0.8484207459879942,0.2736112205015462
213,0.0,0.0,3.7471065087285313,1.2843324026753062,pseudo-voigt,0.7916932679871244,0.2909815574998726
214,0.0,0.0,4.484415368793487,1.2368616710081766,pseudo-voigt,0.7394696895242445,0.25599438866426444
215,0.0,0.0,4.402184647964797,1.3338219980675095,pseudo-voigt,0.7161410932853083,0.30011832198858474
216,0.0,0.0,3.790709905274233,1.142386147313946,pseudo-voigt,0.8078821297758123,0.2632934483269481
217,0.0,0.0,3.652969121194503,1.30766112529366,pseudo-voigt,0.7729085067795517,0.3112791551632485
218,0.0,0.0,4.529738662800139,1.1599169442988544,pseudo-voigt,0.7234135570586577,0.27741048563367304
219,0.0,0.0,4.211869163218254,1.2505466060797916,pseudo-voigt,0.7458457757812172,0.30732479712872834
220,0.0,0.0,3.9996904975647958,1.2297526784237869,pseudo-voigt,0.739393766284787,0.27062898014658543
221,0.0,0.0,4.810908110989528,1.3483095957188678,pseudo-voigt,0.75969535044872,0.26284247259521437
222,0.0,0.0,4.003789838287453,1.3029656663774152,pseudo-voigt,0.8880421799621006,0.26658574007563046
223,0.0,0.0,4.870966260785345,1.3908105158790844,pseudo-voigt,0.8072969892685722,0.3349388898424884
224,0.0,0.0,3.49734917974013,1.1433408513050833,pseudo-voigt,0.7468814850013967,0.2954724021270868
225,0.0,0.0,4.062338655343843,0.994940790751318,pseudo-voigt,0.7266138134914748,0.2832554691384195
226,0.0,0.0,3.9666871452107624,1.2234462898847769,pseudo-voigt,0.7471692049955304,0.2889597298949093
227,0.0,0.0,3.9351836098826616,1.3471279260730737,pseudo-voigt,0.7717177270899321,0.3243109648129174
228,0.0,0.0,4.5278687384991905,1.3840624275836189,pseudo-voigt,0.8142797664845359,0.26013187128241905
229,0.0,0.0,4.021999066361777,1.0642948368153413,pseudo-voigt,0.6440116147437156,0.28029538102256185
230,0.0,0.0,4.155395691836779,1.3466926706503526,pseudo-voigt,0.630867838732019,0.2972724897415367
231,0.0,0.0,3.908443838908466,1.222668078338868,pseudo-voigt,0.6804749427411996,0.2506914363320996
232,0.0,0.0,4.52805196847202,1.3699718726777224,pseudo-voigt,0.7781594981863875,0.3147294461689295
233,0.0,0.0,4.197144321263774,1.2556447841667613,pseudo-voigt,0.8536885834138936,0.2853991432214559
234,0.0,0.0,4.1675648522069775,1.3137004060527386,pseudo-voigt,0.8305150984281322,0.3039394252753797
235,0.0,0.0,3.8299389028482707,1.201059722785306,pseudo-voigt,0.7178066461741591,0.2998603693089678
236,0.0,0.0,3.7896965691096147,1.0998452328977717,pseudo-voigt,0.7466650960624702,0.3189204195360666
237,0.0,0.0,4.865103390926028,1.2274360404150313,pseudo-voigt,0.7453024411612192,0.2748827408442402
238,0.0,0.0,4.153444789890033,1.199808182978001,pseudo-voigt,0.7779155879488302,0.2900537480195567
239,0.0,0.0,4.2600471402782345,1.2628795887351536,pseudo-voigt,0.8284753572225055,0.3185987130771868
240,0.0,0.0,3.9381722337316543,1.3263219585465273,pseudo-voigt,0.7795047780480614,0.3299129538667394
241,0.0,0.0,4.098691444788212,1.25750696016473,pseudo-voigt,0.7567316086869303,0.26641986374432314
242,0.0,0.0,4.026810233559883,1.1759559647596667,pseudo-voigt,0.7356984585879122,0.3222950954000895
243,0.0,0.0,4.463601584360483,1.5580464033481736,pseudo-voigt,0.7466425592922165,0.3110128841234273
244,0.0,0.0,4.705364106217852,1.3139581542440815,pseudo-voigt,0.7668622701194412,0.3026629545167987
245,0.0,0.0,4.0973872207609325,1.4001272209227265,pseudo-voigt,0.6798310644980178,0.2703789712198309
246,0.0,0.0,4.936459448962883,1.2319896477836523,pseudo-voigt,0.6937675331070612,0.2626833066621807
247,0.0,0.0,3.708735676645181,1.3573031798620665,pseudo-voigt,0.7604483020665452,0.2670793832922901
248,0.0,0.0,5.058401799689314,1.3386502413582646,pseudo-voigt,0.6814600998245894,0.2630038369634932
249,0.0,0.0,3.80805616524509,1.0419576155233061,pseudo-voigt,0.7530283720840383,0.2883028219940594
250,0.0,0.0,3.638501406252827,1.0276526387192706,pseudo-voigt,0.902424000913634,0.28146933118339357
251,0.0,0.0,4.27005068283175,1.373476413220177,pseudo-voigt,0.8192703435837531,0.26749466888480555
252,0.0,0.0,4.389284014107971,1.4209252686111478,pseudo-voigt,0.6641541065635362,0.262836604116298
253,0.0,0.0,3.992146493711498,1.2892192761739145,pseudo-voigt,0.8489001441074217,0.3172516913641246
254,0.0,0.0,4.352893547494224,1.446444839478192,pseudo-voigt,0.7989613531612108,0.3211324705614197
255,0.0,0.0,4.315777112285988,1.3067943760643996,pseudo-voigt,0.7618527965834632,0.2994199942397167
256,0.0,0.0,3.859837044547823,1.2636879373276861,pseudo-voigt,0.6816078933886534,0.2677812190707601
