MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay,source
21,0.0,0.0,6.60237235819867,5.15041627292159,pseudo-voigt,0.7517065225752787,0.3200676750756927,,,"50% Variable Pseudo-Voigt 4.3"" (alpha 10%)","gaussian (2.22057,50%*2.22057)","gaussian (0.679177,50%*0.679177)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,5.9023032389745126e-06,1.828786119940933e-05,9.999999999999999e-06,9.999999999999999e-06,0.0023533133866666667,48.40254404345498,48.40254404345498,-9.11439616730508e-06,3.7321709160394654e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
22,0.0,0.0,4.630343980128716,3.357474129649757,pseudo-voigt,0.6840149234892747,0.3132620604543345,,,"10% Variable Pseudo-Voigt 8"" (alpha 10%)","gaussian (4.1303,10%*4.1303)","gaussian (1.2633,10%*1.2633)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,-1.9890365461101818e-06,9.818423099939199e-06,9.999999999999999e-06,9.999999999999999e-06,0.0023533133866666667,36.805088086909976,36.805088086909976,2.0474237558575517e-05,2.368461707019243e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
23,0.0,0.0,2.27565602966825,2.672657406525797,pseudo-voigt,0.7857142957138818,0.2869982637318513,,,"30% Variable Pseudo-Voigt 8"" (alpha 10%)","gaussian (4.1303,30%*4.1303)","gaussian (1.2633,30%*1.2633)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,-3.353388393711562e-07,-4.038070391665637e-05,9.999999999999999e-06,9.999999999999999e-06,0.0021710265733333334,84.25892769803957,84.25892769803957,3.637233896355688e-05,-2.6516339651254887e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
24,0.0,0.0,4.485542635085885,4.195556136020228,pseudo-voigt,0.5985548512933923,0.2908451056810665,,,"50% Variable Pseudo-Voigt 8"" (alpha 10%)","gaussian (4.1303,50%*4.1303)","gaussian (1.2633,50%*1.2633)","gaussian(0.77,10%*0.77)","gaussian(0.29,10%*0.29)",,,,,,,3.409805864978168e-06,-6.808097904857154e-05,9.999999999999999e-06,9.999999999999999e-06,0.0021710265733333334,74.55535661882374,74.55535661882374,6.915046730643527e-05,-3.316188442212488e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
25,0.0,0.0,2.750884403654585,3.983737648774921,pseudo-voigt,0.833424838822311,0.2734828427824037,,,,,,,,,,,,,,1.071292985780027e-06,4.1665460995933265e-06,9.999999999999999e-06,9.999999999999999e-06,0.0021710265733333334,64.8517855396079,64.8517855396079,-2.1383459689401753e-05,-6.84289429681985e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
26,0.0,0.0,4.234704352258935,5.028471660422371,pseudo-voigt,0.7383201908137915,0.2894369612307691,,,,,,,,,,,,,,1.0514698719716749e-05,8.829276972317434e-06,9.999999999999999e-06,9.999999999999999e-06,0.0021710265733333334,55.148214460392076,55.148214460392076,4.27561402769385e-06,-4.313409455854096e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
27,0.0,0.0,3.031188726804307,6.366412436861298,pseudo-voigt,0.829749694731514,0.3531671374737339,,,,,,,,,,,,,,2.508961426858499e-06,4.687396956629551e-05,9.999999999999999e-06,9.999999999999999e-06,0.0021710265733333334,45.44464338117625,45.44464338117625,-2.6813783374022506e-05,2.7264249670891754e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
28,0.0,0.0,4.175956689023584,3.69558559965549,pseudo-voigt,0.6747094837858281,0.2821860558888039,,,,,,,,,,,,,,-3.181035253324727e-06,4.613425398689863e-05,9.999999999999999e-06,9.999999999999999e-06,0.0021710265733333334,35.74107230196042,35.74107230196042,-3.209574449183277e-05,3.3973020073486914e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
29,0.0,0.0,3.566495858883839,5.380704138709767,pseudo-voigt,0.8177102201054942,0.3180283111299446,,,,,,,,,,,,,,6.682367003920003e-06,-5.5014350600069104e-05,9.999999999999999e-06,9.999999999999999e-06,0.0020396265066666666,85.03146653651956,85.03146653651956,5.440314868387059e-05,2.6449893434193564e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
30,0.0,0.0,5.685967539410355,2.239164044591456,pseudo-voigt,0.8009686180156025,0.267632202477071,,,,,,,,,,,,,,-1.665911599928415e-06,-9.715475378986e-05,9.999999999999999e-06,9.999999999999999e-06,0.0020396265066666666,76.68764435767972,76.68764435767972,0.00011668868795338411,4.476412465861067e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
31,0.0,0.0,2.577895100955509,3.168739022007439,pseudo-voigt,0.6103456153317439,0.2987542038441074,,,,,,,,,,,,,,-4.0107262266059695e-06,-2.4575601704340522e-05,9.999999999999999e-06,9.999999999999999e-06,0.0020396265066666666,68.34382217883986,68.34382217883986,1.0732560707076359e-05,-8.007363932683014e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
32,0.0,0.0,2.861992809486242,3.764803927356323,pseudo-voigt,0.9240776824129568,0.3187905418590231,,,,,,,,,,,,,,-2.44993407324561e-07,1.674556793496413e-05,9.999999999999999e-06,9.999999999999999e-06,0.0020396265066666666,60.00000000000001,60.00000000000001,5.979645987698479e-05,0.00010068853829804222,9.999999999999999e-06,9.999999999999999e-06,runtime
33,0.0,0.0,1.200858315008874,3.03553433486789,pseudo-voigt,0.7062183379783776,0.2895132777786235,,,,,,,,,,,,,,1.816445095709281e-06,4.6145045275195166e-05,9.999999999999999e-06,9.999999999999999e-06,0.0020396265066666666,51.65617782116015,51.65617782116015,-3.4941863488751276e-05,4.3810660803747545e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
34,0.0,0.0,3.888799469517536,0.8498965585980794,pseudo-voigt,0.8240375548768755,0.3201453436564796,,,,,,,,,,,,,,-6.089321173024544e-06,6.226929439643537e-05,9.999999999999999e-06,9.999999999999999e-06,0.0020396265066666666,43.3123556423203,43.3123556423203,-5.0260526226602396e-05,2.7854153764050186e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
35,0.0,0.0,5.094997302736584,3.375720182750162,pseudo-voigt,0.6550078631475045,0.3356748724850168,,,,,,,,,,,,,,5.1182070892304e-06,3.560538763220871e-05,9.999999999999999e-06,9.999999999999999e-06,0.0020396265066666666,34.96853346348045,34.96853346348045,-2.8084717536487442e-05,2.5811843905503062e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
36,0.0,0.0,5.445882042047056,2.96832380040989,pseudo-voigt,0.6329315752074484,0.3064509259393936,,,,,,,,,,,,,,9.105011907053076e-08,-2.626492341418962e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022554929066666667,85.09589760214199,85.09589760214199,2.032082811276659e-05,-2.0296358651937718e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
37,0.0,0.0,3.404453166815156,1.148764292184914,pseudo-voigt,0.7074116766666891,0.3283188352698079,,,,,,,,,,,,,,1.66387259329646e-06,-5.571560085106971e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022554929066666667,76.73059840142798,76.73059840142798,5.4136463213597265e-05,-4.157148033370594e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
38,0.0,0.0,0.3049144243038792,5.182554518181234,pseudo-voigt,0.7465857441629444,0.3081197122836798,,,,,,,,,,,,,,-1.407587581260273e-06,-4.752609533138791e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022554929066666667,68.36529920071399,68.36529920071399,6.938374831032557e-05,-3.52461832694296e-07,9.999999999999999e-06,9.999999999999999e-06,runtime
39,0.0,0.0,3.805853738112119,3.61277800608875,pseudo-voigt,0.648778704501608,0.2557409335864941,,,,,,,,,,,,,,-7.011991243756766e-06,1.5890200021403133e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022554929066666667,60.0,60.0,-1.9379547849889042e-05,-4.3382713507445624e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
40,0.0,0.0,7.193341466527838,5.253508347918865,pseudo-voigt,0.7970127533811256,0.3406534064438296,,,,,,,,,,,,,,2.060808679691348e-06,5.254896264361281e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022554929066666667,51.634700799286,51.634700799286,-4.959330875768038e-05,-7.441303106106985e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
41,0.0,0.0,1.314600545706779,1.365891128056441,pseudo-voigt,0.7059686638956498,0.2833000697773581,,,,,,,,,,,,,,-1.0258642312311099e-05,0.0001247231049714928,9.999999999999999e-06,9.999999999999999e-06,0.0022554929066666667,43.26940159857202,43.26940159857202,-9.355635204266523e-05,7.193085712106263e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
42,0.0,0.0,2.961520439107159,1.569658176157562,pseudo-voigt,0.844130929963957,0.3113136834126231,,,,,,,,,,,,,,-2.693297212265596e-06,8.220489821575508e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022554929066666667,34.90410239785801,34.90410239785801,-3.0468698035950907e-05,8.195609388434149e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
43,0.0,0.0,0.8876717728909894,5.123167337996697,pseudo-voigt,0.5975893375462631,0.2921438972591241,,,,,,,,,,,,,,-4.11263160492507e-06,4.919925913191949e-07,9.999999999999999e-06,9.999999999999999e-06,0.0024684620533333332,85.14921397944846,85.14921397944846,-8.652528087952124e-06,-5.2894999527494164e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
44,0.0,0.0,1.652928781105073,0.7407897647339543,pseudo-voigt,0.6487573560824341,0.3192992405575061,,,,,,,,,,,,,,-3.4699543808807897e-06,-6.366875312713862e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024684620533333332,76.76614265296564,76.76614265296564,7.015183031043059e-05,-1.2204722437300517e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
45,0.0,0.0,2.241214389583258,2.848854905752014,pseudo-voigt,0.7644882917830554,0.3265354737551159,,,,,,,,,,,,,,1.8957071044009749e-06,-4.5822771448415676e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024684620533333332,68.38307132648282,68.38307132648282,4.560268889981252e-05,-6.153009984561961e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
46,0.0,0.0,2.504933415358358,6.558731014666409,pseudo-voigt,0.8049869208055183,0.2722103463814949,,,,,,,,,,,,,,1.669784482110521e-06,-8.870517108054525e-06,9.999999999999999e-06,9.999999999999999e-06,0.0024684620533333332,60.00000000000001,60.00000000000001,8.90046012984672e-07,-6.267851063755877e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
47,0.0,0.0,4.79538424411784,3.719991150027544,pseudo-voigt,0.7936139864460331,0.2954614525722571,,,,,,,,,,,,,,8.014510577629865e-06,4.139325948368596e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024684620533333332,51.61692867351719,51.61692867351719,-2.647689321758503e-05,8.090992767836714e-08,9.999999999999999e-06,9.999999999999999e-06,runtime
48,0.0,0.0,2.888675426808636,6.408824380042206,pseudo-voigt,0.6829559485972044,0.2542437826477947,,,,,,,,,,,,,,9.184879310911438e-06,7.70494396922318e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024684620533333332,43.233857347034366,43.233857347034366,-7.780830477049577e-05,1.9679431179140968e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
49,0.0,0.0,2.202127063339192,2.272575519369575,pseudo-voigt,0.7801107590182444,0.2338762247758548,,,,,,,,,,,,,,8.453030977891097e-06,5.972889848972791e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024684620533333332,34.85078602055153,34.85078602055153,-8.494693008845753e-05,1.544970986763724e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
50,0.0,0.0,3.22395120362934,4.165017499882772,pseudo-voigt,0.755203103067283,0.2514932641781377,,,,,,,,,,,,,,2.544648133643265e-06,-7.217947865698812e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,85.7184757630719,85.7184757630719,7.69247318890175e-05,8.338689723951063e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
51,0.0,0.0,4.588674034461095,3.67596750218731,pseudo-voigt,0.7825834185617647,0.271122891690588,,,,,,,,,,,,,,-4.60158005851735e-06,-0.00011257697220691793,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,78.37033983076564,78.37033983076564,0.00013387963851898516,5.445436001682396e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
52,0.0,0.0,2.724104648754414,3.57758395972815,pseudo-voigt,0.8378827445866552,0.2795895028361949,,,,,,,,,,,,,,3.5947963240441856e-06,-0.00010904269722931357,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,71.02220389845938,71.02220389845938,0.00010122613708716047,-0.00010348552672617134,9.999999999999999e-06,9.999999999999999e-06,runtime
53,0.0,0.0,3.001510481941291,4.728183361083407,pseudo-voigt,0.6879932100812882,0.2608497694336787,,,,,,,,,,,,,,1.8286120540242788e-06,-1.0640122628735836e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,63.674067966153125,63.674067966153125,2.853705622554312e-05,-2.4291750563719322e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
54,0.0,0.0,2.419181682735924,3.365692785741298,pseudo-voigt,0.8246789121718295,0.2354027075260376,,,,,,,,,,,,,,-4.2161696617650064e-07,-1.4694630173915207e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,56.32593203384686,56.32593203384686,5.037668904988152e-05,1.4360909036134105e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
55,0.0,0.0,0.9018415497953431,4.307785177983834,pseudo-voigt,0.8061059066277314,0.3255146802593751,,,,,,,,,,,,,,-4.709093202672926e-06,0.00011035978970365734,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,48.977796101540605,48.977796101540605,-0.00013921379918039082,-2.5709343559642812e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
56,0.0,0.0,1.489890192065529,2.735383757255546,pseudo-voigt,0.8297500008190792,0.2458898561488594,,,,,,,,,,,,,,-3.0326498934457206e-08,0.00011938742444420647,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,41.62966016923435,41.62966016923435,-0.00011729521863172634,4.217436704104281e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
57,0.0,0.0,1.837877208566921,4.206497576938683,pseudo-voigt,0.8275641857906526,0.2998566058129453,,,,,,,,,,,,,,-2.757103258154251e-06,1.3108935401279096e-05,9.999999999999999e-06,9.999999999999999e-06,0.0022760520066666665,34.28152423692809,34.28152423692809,-3.17592970297077e-05,-6.797321456016997e-06,9.999999999999999e-06,9.999999999999999e-06,runtime
58,0.0,0.0,2.683237486484835,5.428840009719644,pseudo-voigt,0.7153650514984444,0.2430410531982918,,,,,,,,,,,,,,-3.265732132051926e-06,-3.299989923594991e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024343357733333337,85.75719081890182,85.75719081890182,3.152881837959457e-05,-3.566362802897595e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
59,0.0,0.0,5.225161723605935,7.697004338584669,pseudo-voigt,0.7194818078169019,0.232737543598911,,,,,,,,,,,,,,4.408330059579122e-06,-4.707585341271198e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024343357733333337,78.39799344207272,78.39799344207272,5.079314418608478e-05,-4.053186382445487e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
60,0.0,0.0,3.997730614761808,3.530645038996997,pseudo-voigt,0.7507703295284872,0.2904694313081103,,,,,,,,,,,,,,-1.542805491296215e-06,-4.8330105197076026e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024343357733333337,71.03879606524364,71.03879606524364,4.0329947391487254e-05,-0.00010192932442680777,9.999999999999999e-06,9.999999999999999e-06,runtime
61,0.0,0.0,4.179045883464175,3.93953470126489,pseudo-voigt,0.7436336838883897,0.3071084242676698,,,,,,,,,,,,,,-3.066525417166675e-06,1.2933644016295269e-06,9.999999999999999e-06,9.999999999999999e-06,0.0024343357733333337,63.67959868841454,63.67959868841454,7.403745201349713e-05,8.842115998339842e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
62,0.0,0.0,4.811792448198355,3.277427329679154,pseudo-voigt,0.5853906161154707,0.2945792506167218,,,,,,,,,,,,,,-2.2264824541127145e-06,-7.307967321074718e-06,9.999999999999999e-06,9.999999999999999e-06,0.0024343357733333337,56.32040131158546,56.32040131158546,1.777940088703605e-05,-3.924721431750084e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
63,0.0,0.0,4.061778720815832,2.888630220012677,pseudo-voigt,0.9544660876082602,0.2587459073215618,,,,,,,,,,,,,,5.056512290995468e-06,0.00013278152993714075,9.999999999999999e-06,9.999999999999999e-06,0.0024343357733333337,48.96120393475636,48.96120393475636,-8.039580249936276e-05,7.17954728513678e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
64,0.0,0.0,5.229149005498599,3.696686985028319,pseudo-voigt,0.751272503255551,0.3186341386781596,,,,,,,,,,,,,,1.1405399243240449e-05,9.552231114958511e-05,9.999999999999999e-06,9.999999999999999e-06,0.0024343357733333337,41.602006557927275,41.602006557927275,-6.51424458351097e-05,5.205292317175106e-05,9.999999999999999e-06,9.999999999999999e-06,runtime
